MaterialID,HeadlineKey,MeasurementID,Use
M132,density,V005262,value
M132,tensileModulusXY,V005267,value
M132,tensileStrengthXY,V005265,value
M132,elongationXY,V005266,value
M132,hdt045,V005270,value
M133,density,V005362,value
M133,tensileModulusXY,V005367,value
M133,tensileStrengthXY,V005365,value
M133,elongationXY,V005366,value
M133,hdt045,V005369,value
M134,density,V005542,value
M134,hdt045,V005551,value
M135,density,V005618,value
M136,density,V005630,value
M137,density,V005676,value
M138,density,V005692,value
M139,density,V005732,value
M139,hdt045,V005730,value
M140,density,V005738,value
M142,hdt045,V005764,value
M143,density,V005866,value
M143,hdt045,V005870,value
