Name,Property,Min,Max
Boron carbide,tensileModulus,440,472
Boron carbide,yieldStrength,350,560
Boron carbide,tensileStrength,350,560
Boron carbide,compressiveStrength,2580,5690
Boron carbide,elongation,0.1,0.1
Boron carbide,fractureToughness,2.5,3.5
Boron carbide,thermalExpansion,3.2,3.4
Glass ceramic,density,2400,2600
Glass ceramic,tensileModulus,67,75
Glass ceramic,yieldStrength,62,75
Glass ceramic,tensileStrength,62,75
Glass ceramic,compressiveStrength,340,355
Glass ceramic,elongation,0.08,0.09
Glass ceramic,fractureToughness,1.4,1.7
Glass ceramic,thermalExpansion,7.4,9.3
Slilicon,density,2300,2350
Slilicon,tensileModulus,140,155
Slilicon,yieldStrength,160,180
Slilicon,tensileStrength,160,180
Slilicon,compressiveStrength,3200,3460
Slilicon,elongation,0.1,0.15
Slilicon,fractureToughness,0.83,0.94
Slilicon,thermalExpansion,2,3.2
Silicon carbide,density,3100,3210
Silicon carbide,tensileModulus,400,460
Silicon carbide,yieldStrength,400,610
Silicon carbide,tensileStrength,400,610
Silicon carbide,compressiveStrength,1000,5250
Silicon carbide,elongation,0,0
Silicon carbide,fractureToughness,3,5.6
Silicon carbide,thermalExpansion,4,4.8
Silicon nitride,density,3100,3400
Silicon nitride,tensileModulus,290,318
Silicon nitride,yieldStrength,600,720
Silicon nitride,tensileStrength,600,720
Silicon nitride,compressiveStrength,524,5500
Silicon nitride,elongation,0,0
Silicon nitride,fractureToughness,4,6.7
Silicon nitride,thermalExpansion,3.2,3.6
Tungsten carbide,density,1530,1590
Tungsten carbide,tensileModulus,625,700
Tungsten carbide,yieldStrength,335,550
Tungsten carbide,tensileStrength,370,550
Tungsten carbide,compressiveStrength,3350,6830
Tungsten carbide,elongation,0.07,0.074
Tungsten carbide,fractureToughness,2,3.8
Tungsten carbide,thermalExpansion,5.2,7.1
Zirconia,density,5900,6150
Zirconia,tensileModulus,200,250
Zirconia,yieldStrength,500,710
Zirconia,tensileStrength,500,710
Zirconia,compressiveStrength,3600,5200
Zirconia,elongation,0,0
Zirconia,fractureToughness,6,8
Zirconia,thermalExpansion,10.5,11
Ceramic foam,density,550,670
Ceramic foam,tensileModulus,2.1,2.6
Ceramic foam,yieldStrength,0.6,2.1
Ceramic foam,tensileStrength,0.6,2.1
Ceramic foam,compressiveStrength,0.8,2.8
Ceramic foam,elongation,0,0
Ceramic foam,fractureToughness,0.08,0.1
Ceramic foam,thermalExpansion,8.5,11
Elastomeric polyurethane foam,density,100,200
Elastomeric polyurethane foam,tensileModulus,0.0005,0.0014
Elastomeric polyurethane foam,yieldStrength,0.045,0.051
Elastomeric polyurethane foam,tensileStrength,0.25,0.3
Elastomeric polyurethane foam,compressiveStrength,0.25,0.3
Elastomeric polyurethane foam,elongation,300,400
Elastomeric polyurethane foam,fractureToughness,0.0158,0.0208
Elastomeric polyurethane foam,thermalExpansion,150,160
Fireproof phenolic foam,density,35,70
Fireproof phenolic foam,tensileModulus,0.004,0.007
Fireproof phenolic foam,yieldStrength,0.09,0.11
Fireproof phenolic foam,tensileStrength,0.15,0.21
Fireproof phenolic foam,compressiveStrength,0.084,0.172
Fireproof phenolic foam,elongation,4,5
Fireproof phenolic foam,fractureToughness,0.004,0.006
Fireproof phenolic foam,thermalExpansion,40,70
Metal foam,density,140,180
Metal foam,tensileModulus,0.16,0.2
Metal foam,yieldStrength,0.11,0.23
Metal foam,tensileStrength,0.3,0.5
Metal foam,compressiveStrength,0.2,0.26
Metal foam,elongation,40,50
Metal foam,fractureToughness,0.35,0.4
Metal foam,thermalExpansion,22,23
Rigid polystyrene foam,density,47,53
Rigid polystyrene foam,tensileModulus,0.025,0.03
Rigid polystyrene foam,yieldStrength,0.8,1
Rigid polystyrene foam,tensileStrength,1,1.2
Rigid polystyrene foam,compressiveStrength,0.8,1
Rigid polystyrene foam,elongation,4,5
Rigid polystyrene foam,fractureToughness,0.01,0.02
Rigid polystyrene foam,thermalExpansion,60,80
"Cast iron, gray (flake graphite)",density,6900,7350
"Cast iron, gray (flake graphite)",tensileModulus,80,150
"Cast iron, gray (flake graphite)",yieldStrength,65,293
"Cast iron, gray (flake graphite)",tensileStrength,100,450
"Cast iron, gray (flake graphite)",compressiveStrength,130,590
"Cast iron, gray (flake graphite)",elongation,0.17,0.7
"Cast iron, gray (flake graphite)",fractureToughness,10,24
"Cast iron, gray (flake graphite)",thermalExpansion,11,13
"Cast iron, nodular (spheroidal, ductile)",density,7050,7250
"Cast iron, nodular (spheroidal, ductile)",tensileModulus,165,180
"Cast iron, nodular (spheroidal, ductile)",yieldStrength,215,790
"Cast iron, nodular (spheroidal, ductile)",tensileStrength,350,1000
"Cast iron, nodular (spheroidal, ductile)",compressiveStrength,229,799
"Cast iron, nodular (spheroidal, ductile)",elongation,2,29
"Cast iron, nodular (spheroidal, ductile)",fractureToughness,22,54
"Cast iron, nodular (spheroidal, ductile)",thermalExpansion,10,12.5
"Cast iron, white",density,7600,7800
"Cast iron, white",tensileModulus,185,215
"Cast iron, white",yieldStrength,230,460
"Cast iron, white",tensileStrength,230,460
"Cast iron, white",compressiveStrength,500,900
"Cast iron, white",elongation,0,0
"Cast iron, white",fractureToughness,9,28
"Cast iron, white",thermalExpansion,10,11
Galvanized steel,density,7800,7900
Galvanized steel,tensileModulus,200,215
Galvanized steel,yieldStrength,250,395
Galvanized steel,tensileStrength,420,600
Galvanized steel,compressiveStrength,250,395
Galvanized steel,elongation,26,47
Galvanized steel,fractureToughness,41,82
Galvanized steel,thermalExpansion,11.5,13
Terne coated stainless steel,density,7600,8100
Terne coated stainless steel,tensileModulus,189,197
Terne coated stainless steel,yieldStrength,310,480
Terne coated stainless steel,tensileStrength,585,660
Terne coated stainless steel,compressiveStrength,310,480
Terne coated stainless steel,elongation,50,50
Terne coated stainless steel,fractureToughness,77,150
Terne coated stainless steel,thermalExpansion,18.8,18.8
Terne coated steel,density,7850,7900
Terne coated steel,tensileModulus,185,200
Terne coated steel,yieldStrength,250,395
Terne coated steel,tensileStrength,345,580
Terne coated steel,compressiveStrength,250,395
Terne coated steel,elongation,28,45
Terne coated steel,fractureToughness,41,82
Terne coated steel,thermalExpansion,12.4,12.9
High carbon steel,density,7800,7900
High carbon steel,tensileModulus,200,215
High carbon steel,yieldStrength,400,1160
High carbon steel,tensileStrength,550,1640
High carbon steel,compressiveStrength,335,1160
High carbon steel,elongation,7,30
High carbon steel,fractureToughness,27,92
High carbon steel,thermalExpansion,11,13.5
Low alloy steel,density,7800,7900
Low alloy steel,tensileModulus,205,217
Low alloy steel,yieldStrength,400,1100
Low alloy steel,tensileStrength,460,1200
Low alloy steel,compressiveStrength,245,2260
Low alloy steel,elongation,3,38
Low alloy steel,fractureToughness,35,110
Low alloy steel,thermalExpansion,10.5,13.5
low carbon steel,density,7800,7900
low carbon steel,tensileModulus,200,215
low carbon steel,yieldStrength,250,395
low carbon steel,tensileStrength,345,580
low carbon steel,compressiveStrength,250,395
low carbon steel,elongation,26,47
low carbon steel,fractureToughness,41,82
low carbon steel,thermalExpansion,11.5,13
medium carbon steel,density,7800,7900
medium carbon steel,tensileModulus,200,216
medium carbon steel,yieldStrength,305,900
