SourceID,Page,Value,Uncertainty,Unit,Line
B-pa6-cf-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resist ance 90 ° C )
B-pa6-cf-TDS,3,130,,°C,"130 °C, and the tim e is 6 to 12 hours. The annealing effect depends on the annealing"
B-pa6-gf-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resistance 90 ° C )
S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,2,280,,°C,"Melt i ndex 280°C, 2.16 kg 25 g/10min"
S-FIBER-PA612,1,448.4,,°C,"Decomposition temp. TGA, 20°C/min 448.4 °C"
S-FIBER-PA612,1,30,,%,*Model infill 30%
S-FIBER-PA612,1,20,,%,humidity below 20%).
S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,3,370,,°C,"D ecomposition temperature TGA, 20°C/min > 370 °C"
S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,5,20,,%,used under dry conditions (relative humidity below 20%).
X-3DXSTAT-ESD-PA12-TDS-v1,1,60,,%,Layer Height: 0.25mm or 60% of nozzle diameter
S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,1,23,,°C,"70% RH, 23°C"
S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,1,441.0,,°C,"Decomposition temp. TGA, 20°C/min 441.0 °C"
S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,1,320,,°C,280°C 320°C
S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,1,290,,°C,290°C 300°C
S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,1,30,,%,*Model infill 30%
S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,1,20,,%,humidity below 20%).
B-pet-cf-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resistance 90 ° C )
B-pet-cf-TDS,3,140,,°C,"annealing temperature of models printed with Bambu PET-CF is 80 to 140 ° C, and the time"
S-PPA-TDS,1,0.5,,%,Net Filament Weight 1 kg ± 0.5%
S-PPA-TDS,1,150,,°C,Spool Material Cardboard (max heat resistance: 150 ° C )
B-ppa-cf-TDS,1,145,,°C,(Temperature resistance 145 ° C )
B-ppa-cf-TDS,1,140,,°C,"Blast Drying Oven: 100 - 140 °C, 8 - 12 h"
B-ppa-cf-TDS,3,140,,°C,"annealing temperature of models printed with Bambu PPA - CF is 120 to 140 °C, and the"
D-IPCON-PPA,1,0.5,,%,Net Filament Weight 1 kg ± 0.5%
D-IPCON-PPA,1,150,,°C,Spool Material Cardboard (max heat resistance: 150 ° C)
D-IPCON-PPA,2,220,,°C,1 . Extreme temperature and humidity resistance (short-term peak of temperature resistance reaches 220 ° C);
S-SPECTRUM-en-tds-spectrum-pps-am230,1,23,,°C,"Charpy impact strength, unnotched* (23°C) 18 kJ/m 2  § eU"
S-SPECTRUM-en-tds-spectrum-pps-am230,1,23,,°C,"Charpy impact strength, notched* (23°C) 1,3 kJ/m 2  § eA"
B-pps-cf-TDS,1,145,,°C,(Temperature resistance 145 ° C )
B-pps-cf-TDS,3,335,,°C,"° C and 335 ° C), higher mechanical properties would be obtained, especially the Z-direction's. All"
B-pps-cf-TDS,3,220,,°C,"models printed with Bambu PPS-CF is 180 to 220 ° C, and the time is 6 to 12 hours. The"
S-PPSGF-TDS-0,1,0.5,,%,Net Filament Weight 0.75 kg ± 0.5%
S-PPSGF-TDS-0,1,150,,°C,Spool Material Cardboard (max heat resistance: 150 ° C )
S-PPSGF-TDS-0,1,0.21,,%,Shrinkage Rate* Specially-defined 0.21% - 0.42%
S-PPSGF-TDS-0,1,0.42,,%,Shrinkage Rate* Specially-defined 0.21% - 0.42%
S-PPSGF-TDS-0,1,345,,°C,"temperature: 345 ° C, bed temperature: 120 ° C, printing speed: 100 mm/s ) and IPCON P P S G F (Grey) filament . The parameters"
S-PPSGF-TDS-0,2,350,,°C,"Q1 Pro and other printers that have 350 ° C nozzle temperature and positive chamber temperature, as well as AMS"
S-PPSGF-TDS-0,2,200,,°C,"(long-term temperature resistance of 200 ° C ), superb water resistance and solvent resistance"
S-FIBER-PPSGF-TDS-2,1,20,,%,Fiberon™ PPS-GF20 is a 20% glass fiber-reinforced
S-FIBER-PPSGF-TDS-2,1,440.2,,°C,"Decomposition temp. TGA, 20°C/min 440.2 °C"
S-FIBER-PPSGF-TDS-2,1,30,,%,X-Y *Model infill 30%
S-FIBER-PPSGF-TDS-2,1,20,,%,Fiberon™ PPS-GF20 should always be stored and used under dry conditions (relative humidity below 20%).
B-pva-TDS,1,90,,°C,Spool Material PC+ ABS (Temperature resistance 90 ° C )
B-pva-TDS,1,100,,°C,"X1 Series Printer Heatbed: 90 - 100 ° C, 12 h"
B-pva-TDS,2,1.8,,MPa,Heat Deflection Temperature  §  1.8 MPa N / A
B-pva-TDS,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
B-support-for-pla-petg-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resistance 90 ° C)
B-support-for-pla-petg-TDS,2,1.8,,MPa,Heat Deflection Temperature  §  1.8 MPa N / A
B-support-for-pla-petg-TDS,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
B-support-for-abs-TDS,1,90,,°C,Spool Material PC + ABS (Temperature resistance 90 °C)
B-support-for-abs-TDS,1,95,,°C,"X1 Se ries Printer Heatbed: 85 - 95 °C, 6 h"
B-support-for-abs-TDS,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
B-support-for-pa-pet-TDS,2,1.8,,MPa,Heat Deflection Temperature  §  1.8 MPa N / A
B-support-for-pa-pet-TDS,2,0.45,,MPa,Heat Deflection Temperature  §  0.45 MPa N / A
S-SPECTRUM-en-tds-spectrum-hdpe,1,110,,°C,Heat Resistance 110 °C
S-SPECTRUM-en-tds-spectrum-hdpe,1,110,,°C,• Heat resistance above 110°C
X-EVOLV3D-OBC-TDS,2,80,,%,Ethanol (60 °C) + + Acetic Acid (80%) ++
X-EVOLV3D-OBC-TDS,2,70,,%,Methanol + + Sulfuric Acid (70%) + +
S-SPECTRUM-en-tds-spectrum-pctg,1,23,,°C,Izod Impact Strength Notched @ 23°C 93°C KJ/m 2  § 
S-CPECF,1,4,,MPa,"52,4 MPa  §  at yield , 50 mm/min"
S-CPECF,1,7,,MPa,"37,7 MPa  §  at break , 50 mm/min"
S-CPECF,1,9,,kJ/m,"Charpy impact strength 105 ,9 kJ/m  §  25 °C, unnotched"
S-SPECTRUM-en-tds-spectrum-pctg-cf10,1,00,,%,"Elongation at Break 5,00%  § "
