check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A10-filled-density-below-base,measurement,low,M024,PETG-CF,G024-01,V000484,Density,1250 kg/m³,> unfilled PETG 1280 kg/m³ (median of 3 in data),B-petg-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M025,PETG-GF,G025-01,V000505,Density,1260 kg/m³,> unfilled PETG 1280 kg/m³ (median of 3 in data),I-PETG-Glass-Fiber-Technical-Data-Sheet,p. 1: Density,"glass-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M033,ASA-CF,G033-01,V000653,Density,1020 kg/m³,> unfilled ASA 1050 kg/m³ (median of 1 in data),B-asa-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M037,PC-CF,G037-03,V000733,Density,1180 kg/m³,> unfilled PC 1200 kg/m³ (median of 1 in data),I-PC-CF-TDS,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M038,PC-GF,G038-02,V001829,Density,1176 kg/m³,> unfilled PC 1200 kg/m³ (median of 1 in data),R-BASF-PCGF30-TDS,p. 2: Printed Part Density,"glass-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M048,PAHT-CF,G048-01,V000896,Density,1060 kg/m³,> unfilled PAHT 1100 kg/m³ (envelope mid),B-paht-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M051,PA6-GF,G051-03,V001171,Density,1200 kg/m³,> unfilled PA6 1250 kg/m³ (median of 1 in data),S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,p. 2: Density,"glass-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M059,PA612-CF,G059-01,V001052,Density,1030 kg/m³,> unfilled PA612 1060 kg/m³ (median of 1 in data),S-FIBER-PA612,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M067,PET-CF,G067-01,V001264,Density,1290 kg/m³,> unfilled PET 1340 kg/m³ (median of 1 in data),B-pet-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M073,PPS-CF,G073-01,V001353,Density,1260 kg/m³,> unfilled PPS 1310 kg/m³ (median of 2 in data),B-pps-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A11-filled-elongation-above-base,measurement,low,M024,PETG-CF,G024-01,V000496,Elongation at break,10.4 %,< unfilled PETG median 8.2 % (n=2),B-petg-cf-TDS,p. 2: Breaking Elongation Rate (X-Y),carbon-fibre: short fibres restrict matrix strain
A14-direction-in-locator-not-coded,measurement,high,M069,PPA,G069-01,V001291,Tensile strength (endpoint unspecified),40 MPa; direction coded unknown,direction Z,S-PPA-TDS,p. 1: Tensile Strength Z,"locator ""p. 1: Tensile Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M069,PPA,G069-01,V001293,Tensile modulus,2.677 GPa; direction coded unknown,direction Z,S-PPA-TDS,p. 1: Young's Modulus Z,"locator ""p. 1: Young's Modulus Z"" names the Z direction"
